Id,Name,Buyer,Status,Reason
349,Ford Lightning Upfit,City of Victoria,New,supply of
350,Fairfield Water Pump Station Upgrades,City of Victoria,New,pump station
353,"Supply of Fertilizer, Lime, and Grass Seed",City of Victoria,New,supply of
355,"Supply of Electrical, Control, and Instrumentation Equipment",City of Victoria,New,supply of
356,Water Meters,City of Victoria,New,supply of
383,"Transit Functional Abilities Assessment Services, Vernon Regional Transit System",BC Transit,New,vehicles
384,"Transit Functional Abilities Assessment Services, Comox Valley Regional Transit System",BC Transit,New,vehicles
385,"Transit Functional Abilities Assessment Services, Central Fraser Valley Regional Transit System",BC Transit,New,vehicles
386,"Transit Functional Abilities Assessment Services, Chilliwack Regional Transit System",BC Transit,New,vehicles
393,Provincial Confidential Materials Destruction Services RFP,Alberta Health Services,New,linen
414,Aviation Fuel Supply and Delivery,Strathcona County,New,supply and delivery
419,Ergonomic Review Services,Travel Alberta,New,furniture
438,Douglas Road and Laurel Street Road Rehabilitation,City of Burnaby,New,road
443,Infor Software Maintenance and Support Renewal,City of Burnaby,New,software
453,Range Road 53 and Township Road 714 Intersection Improvement - Type IV (Option A) or Roundabout (Option B),County of Grande Prairie,New,road
454,2026 Micro-Surfacing Program - Township Road 712 and Range Road 51,County of Grande Prairie,New,road
463,SUPPLY AND DELIVERY OF (1) TERRESTRIAL LASER SCAN TO BIM SYSTEM,Metro Vancouver Regional District,New,supply and delivery
485,Supply and Delivery of Light Duty Fleet Vehicles,Regional Municipality of Wood Buffalo,New,supply and delivery
497,Reservoir Replacement: McNutt Road,City of Maple Ridge,New,road
510,Steveston Highway Multi-Use Pathway from Shell Road to Steveston Interchange,City of Richmond,New,road
530,City of Abbotsford - Transit Shelter Advertising - Pattison Outdoor Advertising LP,City of Abbotsford,New,advertising
542,Landscaping Reinstatement,City of Red Deer,New,landscaping
552,"Mobile and portable radios and related equipment, and the software, software installation and training",City of St. Albert,New,software
554,Financial Audit Services,City of St. Albert,New,audit services
558,Supply and Deliver Winter Road De-icing Material,City of Prince George,New,road
564,External Audit Services,District of North Vancouver,New,audit services
577,Professional Corporate Custodial Service Contract,City of Lethbridge,New,custodial
585,Waste and Recycling Centre Road Paving,City of Lethbridge,New,road
586,Financial Audit Services,Government of Alberta (APC),New,audit services
591,26-2013 Cleaning and Inspection of Gravity Storm and Sanitary Sewer Pipes,Government of Alberta (APC),New,sewer
592,Request for Proposal - Audit Services,Government of Alberta (APC),New,audit services
594,2026 Sanitary Trunk Replacement,Government of Alberta (APC),New,sanitary
610,A6 Sanitary Upgrades,Government of Alberta (APC),New,sanitary
620,Clearwater County Annual Line Painting (3 yrs),Government of Alberta (APC),New,line painting
627,Supply and Delivery of 380 Student Desks,Government of Alberta (APC),New,supply and delivery
646,935603 - Pavement Assessment Standing Arrangement,Government of Alberta (APC),New,pavement
647,Supply and Delivery of Paper Products and Cleaning Supplies,Government of Alberta (APC),New,supply and delivery
648,"Roadway Line Painting, THC2026LP",Government of Alberta (APC),New,roadway
649,Supply and Delivery of Aggregates,Government of Alberta (APC),New,supply and delivery
651,"THC2026LD, Supply of Light-Duty Equipment",Government of Alberta (APC),New,supply of
653,Waste and Recycling Centre Road Paving,Government of Alberta (APC),New,road
657,Supply and Delivery of Chromebooks and Related Accessories,Government of Alberta (APC),New,supply and delivery
667,2027-2028 Road Overlay and 2026-2028 Paved Lane Rehabilitation,Government of Alberta (APC),New,road
668,Range Road 185 Road Upgrades,Government of Alberta (APC),New,road
670,RE9178 All-Terrain Vehicle,Government of Alberta (APC),New,vehicle
677,Municipal Solid Waste Collection and Transportation Services,Government of Alberta (APC),New,waste collection
678,"Sidewalk and Paving Stone Works: Inspection, Repair, and Maintenance - Municipality of Jasper",Government of Alberta (APC),New,paving
680,"RFEI #2026-02, Asphalt Concrete Pavement (ACP) Including Granular Base Course (GBC)",Government of Alberta (APC),New,pavement
696,"Soil Hauling, Testing and Disposal",City of Coquitlam,New,road
699,"TA2439 Torkelson, 412 Road",BC Timber Sales Branch,New,road
701,RFP - Britannia Mine Remediation Project - Crown Lot Landscaping,"Ministry of Water, Land and Resource Stewardship",New,landscaping
702,EN27LMN107 Heavy Brushing,Ministry of Forests,New,road
704,Citrix Universal Hybrid Multi-Cloud Licensing,British Columbia Assessment Authority,New,software
705,"1070-2627-042 Pest Control Services for Prince George, Terrace/Kitimat, and Fort St. John Locations Northern Region BC",BC Housing Management Commission,New,pest control
717,Value Added Reseller for Abnormal AI,BC Transit,New,software
719,Long View Systems Corporation – Genesys Solutions Architect Extension,Insurance Corporation of British Columbia,New,software
726,"T 26-048 - SUPPLY OF ELECTRICAL, CONTROL, AND INSTRUMENTATION EQUIPMENT",City of Victoria,New,supply of
733,2026 Household Sewer Service Line Improvements,City of St. Albert,New,sewer
10253,Lake Newell Resort Lift Station Electrical Upgrades,Government of Alberta (APC),New,lift station
10256,The 26-1611 City of Calgary Enterprise Resource Planning (ERP) Transformation: Owner’s Consultant,Government of Alberta (APC),New,erp
10288,NRFP 26-040 - NEXTGEN ERP SOLUTION IMPLEMENTOR,City of Victoria,New,erp
10290,Annual Financial Statements Preparation & Audit Collaboration Software,City of Port Moody,New,software
10293,NEXTGEN ERP Solution Implementor,City of Victoria,New,erp
10294,Hub-Mounted AWD Chassis Dynamometer System,Northern Alberta Institute of Technology,New,road
10297,BC Wildfire Service Dispatch Application,"Ministry of Water, Land and Resource Stewardship",New,software
10298,Fleetwave Migrate to SaaS,BC Emergency Health Services,New,software
10299,Two New Police Package Hybrid Four Door AWD Utility Vehicles,City of New Westminster,New,vehicles
10302,One New Flat Deck Tilt Wrecker,City of New Westminster,New,vehicle
10307,GetCheckedOnline maintenance and development services,Provincial Health Services Authority (Incl. BCCSS),New,software
10313,Towing and Storage Services,City of Mission,New,vehicle
10315,Langley City - 201 St. Heritage Park Storm Sewer Improvements,City of Langley,New,sewer
10323,Basic First Aid Certified Security Guard,City of Vancouver,New,security guard
10324,Iatric Haystack Auditing Software,Provincial Health Services Authority (Incl. BCCSS),New,software
10325,RFP-2026-15 2026 Leak Detection Program,Northern Rockies Regional Municipality,New,sewer
10326,"EN27DSS001 MY - MAINTENANCE OF SUSKWA FOREST SERVICE ROAD 0 – 4.5KM, AND SUSKWA/MORICETOWN FOREST SERVICE ROAD 2.38KM – 6KM",Ministry of Forests,New,road
10335,"Asphalt Maintenance Lot 22, 28, Sports Medicine Centre",Government of Alberta (APC),New,asphalt
10339,Development and Support and Maintenance of the Serve Legal System,Attorney General,New,software
10340,Consulting Services – Sanitary Forcemain Condition Assessment,City of Prince George,New,sanitary
10341,EN27474017 Load Ratings and Repair Prescriptions In the Southern Engineering Area,Ministry of Forests,New,road
10345,Consulting Services – Sanitary Forcemain Condition Assessment,City of Prince George,New,sanitary
10350,"26-1586- Supply and Delivery of Training Academy Immersive Scenario and Moulage Services for Calgary Fire Department (CFD), Canada Task Force 2 (CAN-TF2) & Emergency Management & Community Safety (EMCS)",Government of Alberta (APC),New,supply and delivery
10358,Supply and Delivery of Equipment Trailers,City of Vancouver,New,supply and delivery
10371,Provision of Sewer Modelling Solution,City of Vancouver,New,sewer
10375,"Supply & Delivery - Asphalt, Concrete and Rock Crushing Services",City of Vancouver,New,asphalt
10377,"SUPPLY AND DELIVERY OF REINFORCED CONCRETE PIPE, MANHOLE SECTIONS AND TOPS",City of Vancouver,New,supply and delivery
10387,Supply & delivery - Liquid Asphalts for Paving,City of Vancouver,New,paving
10389,Contractor for Thornton Pump Station Repairs,City of Vancouver,New,pump station
10390,Consultant for Temporary Staffing Agency Services,City of Vancouver,New,staffing
10391,Provision of Sewer Service Connection Rehabilitation,City of Vancouver,New,sewer
10394,Consultant for 2019 Pavement Condition Survey,City of Vancouver,New,pavement
10398,Pre Qualification for Supply and Delivery of Wines to VCT and Parks,City of Vancouver,New,supply and delivery
10408,Consultant for Sewer Outfall Inspection Program,City of Vancouver,New,sewer
10414,Supply and Delivery of Ready Mix Concrete,City of Vancouver,New,supply and delivery
10428,Consultant for Check Point Support for Software Gateway,City of Vancouver,New,software
10438,Supply of Bulk Aviation Fuels and Related Delivery Services to Shuswap Regional Airport,City of Salmon Arm,New,supply of
10441,2026 Sewer CCTV Inspection and Cleaning services,University of British Columbia,New,sewer
10444,2026 Road Rehabilitation Program- Phase 4,Government of Alberta (APC),New,road
10451,Safety & Disability Management Software System,City of Coquitlam,New,software
10457,Supply of SCBA Cylinders,City of Victoria,New,supply of
10461,NRFP21052026-FV Cloud Based Backup and Disaster Recovery Services,Vancouver Community College,New,software
10463,Blanket Folder System for NHA,Provincial Health Services Authority,New,supply of
10470,Lumby CIPP lining of 200mm and 250mm sanitary sewer mains,Village of Lumby,New,sewer
10474,Invitation to Tender North Well #2,Village of Lumby,New,sewer
10486,Calgary-Spyhill Correctional Facilities- Lift Station Maintenance and Wastewater services,Government of Alberta (APC),New,lift station
10498,RFP 26-1587 2026 Pavement Rehabilitation - Southland Drive SW,Government of Alberta (APC),New,pavement
10508,Fire Hydrant Inspection and Maintenance,City of Nanaimo,New,hydrant
10524,Audit Services for Highway 28/63 Regional Water Services Commission,Government of Alberta (APC),New,audit services
10529,"Supply, Delivery, and Installation of Office Furniture",Government of Alberta (APC),New,furniture
10531,Hydro Technical Analysis of Scour and Erosion Hazards at Water Main and River Crossings,Metro Vancouver Regional District,New,water main
10546,Graphic Design and GIS Servies,"Housing Authority, City of Los Angeles",New,graphic design
10557,San Pedro Waterfront-Harbor Blvd Roadway & 22nd St Parking Lot Improvements,"Harbor Department, Port of Los Angeles",New,roadway
10597,DMH4132026B1 - Graphic Design Services - Closing: 6/2/2026 5:00 PM,Los Angeles County,New,graphic design
10603,TTC_RFSQ_2026-01_RPIS - Real Property Insurance Services (RPIS) - Closing: Continuous,Los Angeles County,New,insurance services
10620,BRC0000478 - Request for Statement of Qualifications for Landscape and Grounds Maintenance Services - Closing: Continuou,Los Angeles County,New,grounds maintenance
10624,BRC0000470 - RFSQ for Street Sweeping Services (BRC0000470) - Closing: Continuous,Los Angeles County,New,street sweeping
10671,TTC RFSQ 2018-01 RPIS - Real Property Insurance Services - Closing: Continuous,Los Angeles County,New,insurance services
10681,RFB-CC-2023-1 - LEGAL SERVICES - COUNTY COUNSEL - Closing: Continuous,Los Angeles County,New,legal services
10686,DBH-61B-WEBSITE DESIGN - AS-NEEDED PROFESSIONAL DESIGN SERVICES - Closing: Continuous,Los Angeles County,New,website
10687,DBH77b - As-Needed Professional Design and Photography Services - Closing: Continuous,Los Angeles County,New,photography
10694,RRCC-RFSQ-19-003 - As-Needed Temporary Staffing Services - Closing: Continuous,Los Angeles County,New,staffing
10716,ITS-I10800-S - On Demand Interpretation and Translation Services Master Agreement - Closing: Continuous,Los Angeles County,New,translation services
10724,PW-ASD940 - RFSQ Landscape and Grounds Maintenance Services (2014 SQPA001 – FORMERLY 2014-PA039) - Closing: Continuous,Los Angeles County,New,grounds maintenance
10737,"RFI19-001 - Free Wi-Fi Services @ County Parks- REPORT TO BOARD DUE Beginning of January, please submit information as s",Los Angeles County,New,wi-fi
10756,DBH77c - As-Needed Professional Design and Photography Services - Closing: Continuous,Los Angeles County,New,photography
10765,"DPR-FUEL-2017 - Fuel Tank Testing, Inspecting, and Maintenance Services - Closing: Continuous",Los Angeles County,New,fuel
10772,PW-ASD944 - RFSQ for Street Sweeping Services (2015-SQPA004) - Closing: Continuous,Los Angeles County,New,street sweeping
10787,DBH77a - As-Needed Professional Design and Photography Services - Closing: Continuous,Los Angeles County,New,photography
10788,DBH-61A-GRAPHIC DESIGN - AS-NEEDED PROFESSIONAL DESIGN SERVICES - Closing: Continuous,Los Angeles County,New,graphic design
10790,BRC0000209 - On-Call Vehicle and Equipment Repair and Towing Services Program - Closing: Continuous,Los Angeles County,New,vehicle
10797,"703-SH - Fuel Dispensing and Storage Equipment Inspection, Compliance, and Repair Services - Closing: Continuous",Los Angeles County,New,fuel
10802,TA2440 4000 Road - Bulkley,BC Timber Sales Branch,New,road
10806,RFP 4232 - Fire Hydrant Inspection and Maintenance,City of Nanaimo,New,sewer
10808,Digital Certificate Services,Insurance Corporation of British Columbia,New,software
10810,Hydro Technical Analysis of Scour and Erosion Hazards at Water Main and River Crossings,Greater Vancouver Regional District (Metro Vancouver),New,water main
10814,WEB BASED LEGAL TRANSLATION SERVICES,Attorney General,New,translation services
10815,Back-up Diesel Generator for Brandrith Pump Station,City of Delta,New,pump station
10816,Supply and Delivery of Janitorial Supplies,City of Burnaby,New,janitorial
10817,Req 68571 BCWS Procurement of Fuel Cans and Accessory Kits,Procurement Services Branch,New,fuel
10819,Dogwood Traffic Signal Timing Updates,City of Campbell River,New,traffic signal
10824,2026 Road Rehabilitation Program Phase 3,City of Grande Prairie,New,road
10830,Digital Community Engagement Software Platform,City of Grande Prairie,New,software
10832,2027-2028 Road Overlay and 2026-2028 Paved Lane Rehabilitation,City of Grande Prairie,New,road
10833,2026 Road Rehabilitation Program- Phase 4,City of Grande Prairie,New,road
10835,ITT - Water South Extension Project - 2026 Royston Road Works,Comox Valley Regional District (CVRD),New,road
10836,RFP Security Services,Comox Valley Regional District (CVRD),New,security services
10859,Supply and Delivery of Janitorial Supplies,City of Burnaby,New,janitorial
10861,"TND0024319 - Concrete Repairs, Cold Milling, Asphalt Concrete Pavement, Pedestrian Actuated Crosswalk Signal Installation, Traffic Signal Installation and Other Work",Government of Alberta (APC),New,pavement
10872,PHSA 16693 RQIS Project Learning Management System,Provincial Health Services Authority (Incl. BCCSS),New,software
10875,NOI Infor Software Maintenance and Support Renewal,City of Burnaby,New,software
10881,RFEOI- Cleaning Services,Northern Health Authority,New,janitorial
10889,"Engineering consultant to update utility master plans for water, sanitary, and storm systems",Town of Smithers,New,sanitary
10901,FME Enterprise Subscription,City of Vancouver,New,software
10904,Digital Office Signage,British Columbia Assessment Authority,New,software
10905,"ADOBE CREATIVE CLOUD, VIP K-12 NAMED LICENSES",School District 36 Surrey,New,software
10906,EN27LMN104 Roadside Brushing,Ministry of Forests,New,road
10910,"Supply of Stoplog, Gate and Embedded Parts for Alouette Lake reservoir",British Columbia Hydro and Power Authority,New,supply of
10912,"EN27TCA008 – Road Maintenance, Strait of Georgia",BC Timber Sales Branch,New,road
10913,RFP-Bus Pre-Delivery Inspection Services – Solaris Trolleybuses,TransLink(South Coast British Columbia Transportation Authority),New,vehicle
10914,CONCRETE SLAB FOR FUEL TANKS,District of Taylor,New,fuel
10917,NOI54527001 NEWT-Foundry Spatial Notice of Intent,British Columbia Energy Regulator,New,software
10919,"Asphalt Resurfacing: North Island Area H19A Royston Rd, Oyster River & Comox Sideroads (54.0 lkm)",Ministry of Transportation and Transit,New,road
10932,Supply and Delivery of Fire-resistant Pants,Ministry of Forests,New,supply and delivery
10942,FI27DCC001- AIRPORT ROAD SOUTH FUEL MANAGEMENT TREATMENT,Ministry of Forests,New,road
10945,2026-RFQ-02 Fire Pickup Truck,City of Nelson,New,vehicles
10949,Interactive Voice Response (IVR) System - Customer Support,SkilledTradesBC,New,software
10955,Half Ton Pick up Trucks,District of Oak Bay,New,vehicles
10972,Crack Sealing - Town of Qualicum Beach,Town of Qualicum Beach,New,road
10974,Ford E-Transit Long 350 High Roof Electric Cargo Van,City of Delta,New,vehicle
10979,Street Line Painting RFQ - Town of Qualicum Beach,Town of Qualicum Beach,New,pavement
10980,Thermoplastic Road Marking RFQ - Town of Qualicum Beach,Town of Qualicum Beach,New,road
10988,Forest Service Road Mechanical Brushing - Stuart Nechako,Ministry of Forests,New,road
10990,T26-031 Supply and Deliver Winter Road De-icing Materials,City of Prince George,New,road
10993,Pay Parking Mobile Payment Application,City of Coquitlam,New,vehicle
10995,Supply and Lease of Fleet Vehicles,Columbia Shuswap Regional District,New,vehicles
10998,Sanitary Wastewater System Permitting Assistance,Bowen Island Municipality,New,sanitary
11007,Morrison Lift Station Upgrades,City of Kimberley,New,lift station
11010,Water and Sewer Strategic Plans,City of Courtenay,New,sewer
11014,Uniform and Textile Services,City of North Vancouver,New,uniform
11020,Online Proctoring Tools / Application / Services,Public Guardian and Trustee of British Columbia,New,software
11026,Supply and Delivery of Two Cummins Fire Boat Engines,City of Vancouver,New,supply and delivery
11027,Operational Weather Forecasting Data Services Solution,British Columbia Hydro and Power Authority,New,software
11032,"Uniform & Linen Services (Rental, Supply & Laundry)",BCNET,New,uniform
11048,"Cleaning Supplies, Equipment and Custodial Goods",City of Surrey,New,janitorial
11051,Big White/Idabel Lake Solid Waste Collection,Regional District of Kootenay-Boundary,New,waste collection
11060,Chevrolet Bolt EUVs,City of Delta,New,vehicle
11061,EN27TIJ401 - South Swanson Road Upgrade and Reactivation,BC Timber Sales Branch,New,road
11068,Defoliator Monitoring in the Cariboo Region,Ministry of Forests,New,pest control
11072,RFP 26-041 - SUPPLY AND DELIVERY OF STANDBY GENERATOR,City of Victoria,New,supply and delivery
11075,2026 Janitorial Services,City of Chilliwack,New,janitorial
11079,Blue Jay Street & Livingstone Avenue - Road & Intersection Improvements,City of Abbotsford,New,road
11087,CMH26-87 - MHPS – Supply of Body Armour and Carrier Systems,Government of Alberta (APC),New,supply of
11095,"RFP-2026-EDTI-20-AB-Edmonton (Transmission)-EDTI Staffing Requirements: Project Managers, Coordinators & Other Various Positions",EPCOR,New,staffing
11100,CVRD-26-019 RFQ Fleet Vehicle,Comox Valley Regional District,New,vehicle
11111,Pop-up Food and Beverage Operator – Harbour Beach @Waterfront Park,City of North Vancouver,New,catering
11118,Co-Sourced or Outsourced Pension Administration,Simon Fraser University,New,insurance services
11125,Forest Service Road Mechanical Brushing - Stuart Nechako,Ministry of Forests,New,road
11127,Uniform and Textile Services,City of North Vancouver,New,uniform
11130,RFQ - Fleet Vehicle,Comox Valley Regional District (CVRD),New,vehicle
11138,EN27TII209 - Road Deactivation in the Terrace Area,BC Timber Sales Branch,New,road
11145,"Pavement Preservation, Crack Sealing-Hot Pour",Government of Alberta (APC),New,pavement
11147,2026/27 Road Salt Supply,Government of Alberta (APC),New,road
11153,90898 Audit and Data Analytics Software,Water & Power,New,software
11155,Supply and Delivery of Waste Carts and Supplies,City of Port Moody,New,supply and delivery
11160,Financial Audit Services,Regional District of Nanaimo,New,audit services
11163,Tender Robb Ave - Anderton Road to Aitken Street Upgrade Project,Town of Comox,New,road
11164,Forest Service Road Mechanical Brushing - Stuart Nechako,Ministry of Forests,New,road
11168,Expressions of Interest (EOI) – Towing and Impound,City of Fort St John,New,vehicle
11170,Work Alone Services,City of Abbotsford,New,software
11177,InBC requires the services of an external executive search firm with demonstrated experience recruiting senior investment leaders.,Management Services Division,New,recruitment
11180,RFP 2026-011 - Supply Of Merv Air Filters,School District 23 Central Okanagan,New,supply of
11190,T 26-038 - FAIRFIELD WATER PUMP STATION UPGRADES,City of Victoria,New,pump station
11192,HWY 37 Durham Creek Culvert Replacement,Ministry of Transportation and Transit,New,culvert
11203,CVRD-26-007 RFP Security Services,Comox Valley Regional District,New,security services
11204,Operations & Maintenance Services - Water System & Wastewater System- BRITANNIA BEACH,Squamish-Lillooet Regional District,New,sewer
11207,Operations & Maintenance Services - Water System & Wastewater System- FURRY CREEK,Squamish-Lillooet Regional District,New,sewer
11208,Master Data Management Solution,British Columbia Assessment Authority,New,software
11214,NARAMATA WATER SYSTEM RAW WATERMAIN CONDITION ASSESSMENT,Regional District of Okanagan Similkameen,New,watermain
11215,"RFQ 26-005 - Garbarge, Recycling, Organics",School District 83 North Okanagan-Shuswap,New,garbage
11216,Powerex Atlassian License Renewal 2026,Powerex Corp,New,software
11222,Actuarial IT Solution,WorkSafeBC,New,software
11229,FireSmart Tempe Park and Kealy Woods Park Fuel Reduction 2026,City of North Vancouver,New,fuel
11230,SUPPLY AND DELIVERY OF (1) TERRESTRIAL LASER SCAN TO BIM SYSTEM,Greater Vancouver Regional District (Metro Vancouver),New,software
11231,Fortune Creek Reservoir and Watermain Twinning,City of Armstrong,New,watermain
11237,2026-05 RFQ McCallum Road Culvert Replacement Release,District of Kent,New,road
11238,NARAMATA WATER SYSTEM VFD FOR RAW WATER PUMP STATION AND WATER TREATMENT PLANT,Regional District of Okanagan Similkameen,New,pump station
11242,Fraser Valley Highway 1 Corridor Improvement Program - Tow Truck Services,Ministry of Transportation and Transit,New,road
11243,Hazard and Risk Assessment of Slopes Below 7 Mile Road,Sun Peaks Mountain Resort Municipality,New,road
11244,"Enterprise Artificial Intelligence: Platforms, Services, and Integrated Delivery",CivicInfoBC,New,software
11253,"Environment, Health and Safety Technology Solution",British Columbia Hydro and Power Authority,New,software
11255,RFP - SAP SuccessFactors LMS Management Services,TransLink(South Coast British Columbia Transportation Authority),New,software
11258,RFP2026-06-05 AOR for Advertising Services,Liquor Distribution Branch,New,advertising
11268,RFP2026-05-28 for Uniformed Security Guard Services,Liquor Distribution Branch,New,security guard
11269,Armoured Vehicle Services,Procurement Services Branch,New,vehicle
11275,Invitation to Tender: Supply of Winter Sand – 2026- 2028,City of Fernie,New,supply of
11278,Supply and Delivery of Three (3) More or Less Production Model Pumpers,City of Surrey,New,supply and delivery
11280,"Supply of Electrical, Utility and Line Maintenance Supplies",CivicInfoBC,New,network equipment
11283,12963 Supply and Delivery of Luggage Carts and Corals - YLW,City of Kelowna,New,supply and delivery
11286,"Supply & Delivery of One Current Model, Class 8, Tandem Drive, Dump Truck with Slide in Sander, Underbelly Plow, and Rear Wing Plow",District of Coldstream,New,vehicles
11298,Staff Patient Transport Taxi Ride Share,Provincial Health Services Authority (Incl. BCCSS),New,road
11312,"Design, Production and Supply of 60-Foot Battery-Electric Transit Buses",TransLink(South Coast British Columbia Transportation Authority),New,supply of
11316,Cybersecurity Awareness Training Solution,WorkSafeBC,New,software
11331,BCHR SUPPORT WORKER - APPROVED VENDOR LIST,BC Health Regulators Society,New,legal services
11332,Harold Road Booster Station Design,City of West Kelowna,New,road
11337,Supply and Delivery of Quint Aerial Apparatus,City of Pitt Meadows,New,supply and delivery
11340,RFQ for Financial Auditor Services Pre-Qualified List,Infrastructure BC Inc.,New,audit services
11346,Multi-Use List Call for Responses Targeted Workforce Skills Training Programs,Ministry of Citizens' Services,New,road
11369,CANOE PROCUREMENTS,City of Colwood,New,furniture
11373,Notice to Vendors - Connected Services BC Update and Invitation to Info Session,Procurement Services Branch,New,software
11385,Indigenous Content Creator for Website,Management Services Division,New,website
11401,General Audit Services,Office of the Auditor General,New,audit services
11406,Compliance Audit Services,Ministry of Citizens' Services,New,audit services
11435,Regulatory Legal Counsel,BC Utilities Commission,New,legal services
11442,Creative Services - Graphic Design,Management Services Division,New,graphic design
11445,MULRFQ26DOS003 - Wildfire Risk Reduction Fuel Management Prescription and Burn Plan Development - District Okanagan Shuswap,Ministry of Forests,New,fuel
11446,"Multi-Use List Request for Qualifications: Operational Works Contracts for Range, Wildfire Rehabilitation, Road Reclamation and Wildfire Risk Reductions Projects",Ministry of Forests,New,road
11449,"Various Communications, Marketing and Engagement Services",SkilledTradesBC,New,graphic design
11451,RFQ-ENTHA408 - Forest Service Road Maintenance and Deactivation Monitoring,BC Timber Sales Branch,New,road
11461,RCSA OF for Office Furniture and Associated Services,Ministry of Citizens' Services,New,furniture
11462,RFQ26TGF001 - Road Maintenance in the Valemount and McBride Area,BC Timber Sales Branch,New,road
11463,Scalable Enterprise Software Subscriptions,Ministry of Citizens' Services,New,software
11464,Creative Services - Photography,Management Services Division,New,photography
11474,Prequalification for the Supply and Delivery of Pallets to the BCLDB.,Procurement and Supply Division,New,supply and delivery
11487,RFSQ 23.188 Heavy Duty Battery Electric Buses,BC Transit,New,vehicles
11497,HR Recruitment Services,SkilledTradesBC,New,recruitment
11525,Request for Qualifications: Family Law: Counsel for Children in Care of the Director designated under the Child Family and Community Service Act (CFCSA) for CFCSA and FLA matters,Attorney General,New,legal services
11541,Supply of Highway and Weather Cameras & Components,Procurement Services Branch,New,supply of
11544,Seed Orchard Irrigation Designer,Ministry of Forests,New,irrigation
11551,Elections BC Electoral Finance Audit Engagements,Procurement Services Branch,New,audit services
11561,"Research, analysis and engagement services to inform better business practices","Ministry of Water, Land and Resource Stewardship",New,insurance services
11566,Pipeline Integrity Services,BC Utilities Commission,New,pipeline
11568,RFQ 22.005 Printing Services,BC Transit,New,printing services
11571,Kinetic GPO Cooperative Purchasing,District of North Vancouver,New,vehicles
11572,BC Government Corporate Supply Arrangements,District of North Vancouver,New,vehicles
11573,Sourcewell Cooperative Purchasing,District of North Vancouver,New,vehicles
11575,Electric Vehicle Charging Stations CSA-OF,Ministry of Citizens' Services,New,vehicle
11580,BC Developers' Exchange for Agile Software Development,Ministry of Citizens' Services,New,software
11593,4. Human-Centered Design Services for  Strategic and Digital Service,Ministry of Citizens' Services,New,software
11594,3. Software Development and Testing Services for Digital and Strategic Services,Ministry of Citizens' Services,New,software
11601,THE SUPPLY OF NALOXONE KITS AND RESPONSE BOXES,Alberta Health Services,New,supply of
