Tab,UI Label / Column Header,ViewModel Property,Service / Loader Method,SQL Table.Column,Query / Calculation Notes
Exec Summary,AR Current (0-30d),ArProjectOutstandingRow.CurrentAmt,ArLoader.Load(),AR.InvBalanceSourceCurrency + AR.DueDate,"SUM where DATEDIFF(day,DueDate,today) <= 30"
Exec Summary,AR 31-60d,ArProjectOutstandingRow.Amt31To60,ArLoader.Load(),AR.InvBalanceSourceCurrency + AR.DueDate,SUM where DATEDIFF 31-60
Exec Summary,AR 61-90d,ArProjectOutstandingRow.Amt61To90,ArLoader.Load(),AR.InvBalanceSourceCurrency + AR.DueDate,SUM where DATEDIFF 61-90
Exec Summary,AR 90+d,ArProjectOutstandingRow.Amt90Plus,ArLoader.Load(),AR.InvBalanceSourceCurrency + AR.DueDate,SUM where DATEDIFF > 90
Exec Summary,AR > 60 Days (KPI Card),KpiCardVm.ValueText,ArLoader.Load(),AR.InvBalanceSourceCurrency,SUM(Amt61To90 + Amt90Plus)
Exec Summary,WIP Unbilled Earned (KPI Card),KpiCardVm.ValueText,WipLoader.Load(),PRSummaryMain.Revenue - PRSummaryMain.Billed,"SUM(Revenue-Billed) where net>0, or PRSummaryMain.Unbilled if column exists"
Exec Summary,WIP Overbilled,deltek.WipOverbilled,WipLoader.Load(),PRSummaryMain.Revenue - PRSummaryMain.Billed,SUM(-(Revenue-Billed)) where net<0
Exec Summary,WIP Net,deltek.WipUnbilledNet,WipLoader.Load(),PRSummaryMain.Revenue - PRSummaryMain.Billed,SUM(Revenue-Billed) all projects
Exec Summary,WIP Draft Invoices (KPI Card),KpiCardVm.ValueText,WipLoader.LoadPreInvoiceWip(),ARPreInvoiceDetail.Amount - ARPreInvoiceDetail.PaidAmount,"SUM(Amount-PaidAmount) where not cancelled, no applied invoice"
Exec Summary,Backlog (KPI Card),KpiCardVm.ValueText,FinancialsService.ComputeHeadline(),PR.Fee - PRSummaryMain.Revenue,TotalFees - TotalFeeBilled (same as Overview TotalUnbilled)
Exec Summary,Billings To Date (KPI Card),KpiCardVm.ValueText,FinancialsService.ComputeHeadline(),PRSummaryMain.Revenue,SUM(Revenue) across all watchlist projects
Exec Summary,Budget Burn (KPI Card),KpiCardVm.ValueText,FinancialsService.ComputeHeadline(),tkDetail / PRLabor,HoursSpent / HoursBudgeted (same as Overview % Hours Spent)
Exec Summary,Portfolio Delivery Risk (KPI Card),KpiCardVm.ValueText,RecalcPortfolio(),derived,Count of Critical + AtRisk projects
Exec Summary,Projects Over Budget (KPI Card),KpiCardVm.ValueText,RecalcPortfolio(),derived,Count where RemainingEngHours < 0
Exec Summary,Utilization (KPI Card),KpiCardVm.ValueText,UtilizationLoader.Load(),tkDetail.RegHrs + tkDetail.OvtHrs + tkDetail.SpecialOvtHrs,"BillableHours/TotalHours last 30d; billable = where BillExt>0, approved only"
Exec Summary,Utilization - Total Hours,deltek.UtilizationTotalHrs30,UtilizationLoader.Load(),tkDetail.RegHrs + OvtHrs + SpecialOvtHrs,"SUM where TransDate >= today-30, LineItemApprovalStatus in ('','A')"
Exec Summary,Utilization - Billable Hours,deltek.UtilizationBillableHrs30,UtilizationLoader.Load(),tkDetail (where BillExt > 0),"SUM(RegHrs+OvtHrs+SpecialOvtHrs) where BillExt>0, last 30d"
Exec Summary,Revenue Earned 30d (Trend),deltek.Revenue30,RevenueLoader.Load(),PRSummaryMain.Revenue,"SUM(Revenue) for periods with EndDate >= today-30, via CFGAcctngCalendarData mapping"
Exec Summary,Revenue Earned 90d (Trend),deltek.Revenue90,RevenueLoader.Load(),PRSummaryMain.Revenue,SUM(Revenue) for periods with EndDate >= today-90
Exec Summary,Billed/Invoiced 30d (Trend),deltek.Billed30,RevenueLoader.Load(),PRSummaryMain.Billed,SUM(Billed) for periods with EndDate >= today-30
Exec Summary,Billed/Invoiced 90d (Trend),deltek.Billed90,RevenueLoader.Load(),PRSummaryMain.Billed,SUM(Billed) for periods with EndDate >= today-90
Exec Summary,Revenue Sparkline,deltek.RevenueSeries[],RevenueLoader.Load(),PRSummaryMain.Revenue,Last 12 periods Revenue values
Exec Summary,Billed Sparkline,deltek.BilledSeries[],RevenueLoader.Load(),PRSummaryMain.Billed,Last 12 periods Billed values
Exec Summary,AR Outstanding Sparkline,deltek.ArSeries[],RevenueLoader.Load(),PRSummaryMain.AR,Last 12 periods AR values
Exec Summary,Delivery Risk Sparkline,PortfolioTrendPoints[],SqlFinancialPortfolioSnapshotStore,dbo.FinancialPortfolioSnapshot.CriticalCount,"12-week snapshot history of CriticalCount, WatchCount, HealthyCount"
Exec Summary,Alert: AR > 60 Days,alert row,ArLoader.Load(),AR.InvBalanceSourceCurrency,Fires if ArOver60 > 0
Exec Summary,Alert: Projects Over Budget,alert row,RecalcPortfolio(),derived,Fires if any project has RemainingEngHours < 0
Exec Summary,Alert: Billing Lagging Burn,alert row,ComputeHeadline(),derived,Fires if (burn% - billing%) >= 0.15 AND burn% >= 0.60
P&L Report (GL),GL Table Selector,SelectedTable,GlProfitLossService.LoadTablesAsync(),GLTable.TableNo + GLTable.TableName,Dropdown: SELECT TableNo/TableName/FilterOrg/FilterCode FROM GLTable
P&L Report (GL),Section Headers,Section grouping,GlProfitLossService.LoadSections(),GLParentHeading.GLGroup + GLParentGroup.Description,"Joined via GLParentHeading.TableNo, ordered by SortOrder"
P&L Report (GL),Line Item (row label),LineItem column,GlProfitLossService.LoadLineGroups(),GLGroup.Description + GLParentDetail.DetailGroupID,"Child groups via GLParentDetail, fallback to GLGroupHeading"
P&L Report (GL),{Month-Year} period columns,DataTable dynamic columns,GlProfitLossService.LoadAmountsByGroupAndPeriod(),GLSummary.Amount,"SUM(Amount) grouped by GLGroupDetail.GLGroup and GLSummary.Period, account ranges via GLGroupDetail.StartAccount/EndAccount"
P&L Report (GL),Current,Current column,ComputeExecutiveColumns(),GLSummary.Amount,Value from latest period column
P&L Report (GL),Prior,Prior column,ComputeExecutiveColumns(),GLSummary.Amount,Value from prior period column
P&L Report (GL),MoM,MoM column,ComputeExecutiveColumns(),derived,Current - Prior
P&L Report (GL),MoM %,MoMPct column,ComputeExecutiveColumns(),derived,(Current - Prior) / abs(Prior)
P&L Report (GL),YTD,YTD column,ComputeExecutiveColumns(),GLSummary.Amount,"SUM of periods from fiscal year start (config: FiscalYearStartMonth, default April)"
P&L Report (GL),TTM,TTM column,ComputeExecutiveColumns(),GLSummary.Amount,SUM of last 12 periods (trailing twelve months)
P&L Report (GL),% Rev,PctOfRevenue column,ComputeExecutiveColumns(),derived,Current / abs(Total Revenue row Current)
P&L Report (GL),Revenue (summary),SummaryRevenue,ApplySummary(),GLSummary.Amount,Total Revenue GrandTotal row Current value
P&L Report (GL),Expenses (summary),SummaryExpenses,ApplySummary(),GLSummary.Amount,Total Expenses GrandTotal row Current value
P&L Report (GL),Net Income (summary),SummaryNet,ApplySummary(),GLSummary.Amount,Revenue - Expenses
P&L Report (GL),Net Margin (summary),SummaryMargin,ApplySummary(),derived,Net Income / abs(Total Revenue)
P&L Report (GL),Net Income Trend (chart),_lastNetTrend[],BuildProfitLossAsync(),GLSummary.Amount,"Last 12 periods ""Net Income"" row values"
P&L Report (GL),Rev vs Exp Trend (chart),_lastRevenueTrend[] + _lastExpenseTrend[],BuildProfitLossAsync(),GLSummary.Amount,"Last 12 periods ""Total Revenue"" and ""Total Expenses"" row values"
P&L Report (GL),Drilldown: Ledger Transactions,DataGrid popup,LoadLedgerTransactionsAsync(),LedgerAR/LedgerAP/LedgerEX/LedgerMisc + Clendor.Name + EMMain,"UNION ALL of 4 ledger tables; Amount, TransDate, Invoice/Voucher/RefNo, Desc1/Desc2"
P&L Report (Project),Fee Billed (Revenue),PnlRow.Amount,ProfitLossReportService.LoadAsync(),PRSummaryMain.Revenue,SUM(Revenue) across all watchlist projects
P&L Report (Project),Engineering Labor,PnlRow.Amount,ProfitLossReportService.LoadAsync(),tkDetail (LaborCode=10),SUM(RegHrs+OvtHrs) * PnLEngRate (config default $550)
P&L Report (Project),Drafting Labor,PnlRow.Amount,ProfitLossReportService.LoadAsync(),tkDetail (LaborCode=20),SUM(RegHrs+OvtHrs) * PnLDraftRate (config default $550)
P&L Report (Project),Other Direct Labor,PnlRow.Amount,ProfitLossReportService.LoadAsync(),tkDetail (LaborCode=30+40+50),SUM(RegHrs+OvtHrs) * PnLOtherDirectRate (config default $550)
P&L Report (Project),Total Direct Labor,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Sum of Eng + Draft + Other Direct
P&L Report (Project),Gross Profit,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Revenue - Total Direct Labor
P&L Report (Project),Overhead (Gen/Admin/NonBill),PnlRow.Amount,ProfitLossReportService.LoadAsync(),tkDetail (LaborCode=60+70+80),SUM(RegHrs+OvtHrs) * PnLOverheadRate (config default $550)
P&L Report (Project),Net Income,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Gross Profit - Overhead
P&L Report (Project),Gross Profit Margin,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Gross Profit / Revenue
P&L Report (Project),Direct Labor Multiplier,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Revenue / Direct Labor
P&L Report (Project),Overhead Ratio,PnlRow.Amount,ProfitLossReportService.LoadAsync(),derived,Overhead / Direct Labor
Billing Manager,Manager / Project (label),Label,BillingManagerReportViewModel,PR.Principal → EMMain.FirstName+LastName / PR.WBS1+PR.Name,"Header rows: manager name from EMMain; detail rows: ""    WBS1 · Name"""
Billing Manager,Info,InfoText,BillingManagerReportViewModel,PR.WBS1 (count) + ProjectCustomTabFields.CustProjectPhase,"Header: ""{count} projects · {staleCount} stalled""; detail: phase string"
Billing Manager,YOY Delta,YoyDeltaText / YoyDelta,BillingManagerReportViewModel,PRSummaryMain.Billed,SUM(last 12 periods Billed) - SUM(prior 12 periods Billed)
Billing Manager,12 MO TOTAL,TotalBilled,BillingManagerReportViewModel,PRSummaryMain.Billed,"SUM(Billed) for last 12 closed periods, grouped by WBS1+Period"
Billing Manager,REM. FEE,RemFeeText / RemainingFee,BillingManagerReportViewModel,PR.Fee - PRSummaryMain.Billed (all-time),Fee - SUM(Billed across all periods)
Billing Manager,% FEE,PctFeeBilledText / PctFeeBilledValue,BillingManagerReportViewModel,PRSummaryMain.Billed / PR.Fee,"AllTimeBilled/Fee; color: gray<50%, green<85%, orange<95%, red>=95%"
Billing Manager,Sparkline (TREND),MonthlyBilled[],BillingManagerReportViewModel,PRSummaryMain.Billed,Array of 12 monthly Billed values (oldest to newest)
Billing Manager,Trend Arrow,TrendArrow / TrendPositive,BillingManagerReportViewModel,PRSummaryMain.Billed,"Compare avg(last 3 months) vs avg(prior 3 months); ↑ if >1.05x, ↓ if <0.95x"
Billing Manager,LAST MO,LastMoText,BillingManagerReportViewModel,PRSummaryMain.Billed,Billed value for last closed period (scan back for first non-zero)
Billing Manager,2 MO AGO,TwoMoAgoText,BillingManagerReportViewModel,PRSummaryMain.Billed,Billed value for period before last closed
Billing Manager,STREAK,StreakText,BillingManagerReportViewModel,PRSummaryMain.Billed,"Header: active/total projects; detail: consecutive months with Billed>0, counting back"
Billing Manager,AVG/MO,AllTimeAvgText,BillingManagerReportViewModel,PRSummaryMain.Billed,SUM(all-time Billed) / COUNT(distinct periods with billing)
Billing Manager,Chart: 12-Month by Manager,ChartEntries[].TotalBilled,BillingManagerReportViewModel,PRSummaryMain.Billed,Grouped by BillingManager; bar width normalized to max
Billing Manager,Chart: YoY Growth,ChartEntries[].YoyDelta,BillingManagerReportViewModel,PRSummaryMain.Billed,Delta bars: last 12 vs prior 12 per manager
Billing Manager,Chart: 60-Month History,MonthBars[].Segments[],BillingManagerReportViewModel,PRSummaryMain.Billed,"Stacked bars: last 60 periods, segmented by manager, height proportional"
