Domain,Tier,Why,Id,Kind,DisplayName,Intel
"sd71.bc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69037","Buyer","SD71 Comox Valley School District","7"
"sd71.bc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69991","Developer","School District 71 (Comox Valley)","11"
"mg-architecture.ca","R3","no name carries the domain brand","69760","Architect","Michael Green Architecture","10"
"mg-architecture.ca","R3","no name carries the domain brand","75817","Architect","MGA | Michael Green Architecture","13"
"mg-architecture.ca","R3","no name carries the domain brand","75834","Architect","Michael Green Architecture (MGA)","6"
"factionprojects.com","S2","only some names carry the domain brand (initialism/rename shape)","70546","Architect","Faction Projects Inc.","7"
"factionprojects.com","S2","only some names carry the domain brand (initialism/rename shape)","70557","GC","Faction Construction","9"
"factionprojects.com","S2","only some names carry the domain brand (initialism/rename shape)","75903","Architect","Faction Architecture Inc.","13"
"reimagine.ca","S2","only some names carry the domain brand (initialism/rename shape)","11288","Architect","MANASC ISAAC ARCHITECTS LTD","19"
"reimagine.ca","S2","only some names carry the domain brand (initialism/rename shape)","75560","Architect","Reimagine Architects","9"
"scb.com","S2","only some names carry the domain brand (initialism/rename shape)","75180","Architect","Solomon Cordwell Buenz","18"
"scb.com","S2","only some names carry the domain brand (initialism/rename shape)","77241","Architect","Solomon Cordwell Buenz (SCB)","10"
"pennyfarthinghomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","53","KorClient","Pennyfarthing Development Corporation","23"
"pennyfarthinghomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","54890","Developer","Pennyfarthing Homes","3"
"dhk.ca","S2","only some names carry the domain brand (initialism/rename shape)","54246","Architect","deHoog & Kierulf Architects","14"
"dhk.ca","S2","only some names carry the domain brand (initialism/rename shape)","73997","Architect","dHKarchitects (de Hoog & Kierulf)","11"
"petersonbc.com","R3","no name carries the domain brand","161","KorClient","Peterson Group","17"
"petersonbc.com","R3","no name carries the domain brand","24020","Developer","Peterson Developments Inc","6"
"albertahealthservices.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","476","Buyer","Alberta Health Services","23"
"albertahealthservices.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","68721","Developer","owner (confirm)","0"
"albertahealthservices.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","71131","Buyer","Jadecor Developments Ltd. (for Alberta Health Services)","0"
"johnmartin.com","R3","no name carries the domain brand","68613","Competitor","John A. Martin & Associates Structural Engineers, Inc.","19"
"johnmartin.com","R3","no name carries the domain brand","77118","Competitor","John A. Martin & Associates (JAMA)","4"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","158","Buyer","City of Kelowna","18"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39000","Developer","Eliquo Training & Development Inc.","0"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54054","Developer","Songhees Creek Hydro Inc.","0"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54135","Buyer","Kelowna City","4"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","55113","Developer","Five Mile Holdings","0"
"kelowna.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77819","Government","City of Kelowna – Downtown Waterfront Hotel Site","0"
"saanich.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18846","Buyer","Corporation of the District of Saanich","2"
"saanich.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18863","Buyer","District of Saanich","19"
"saanich.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39051","Vendor","IT/Net-Ottawa Inc, KPMG LLP in Joint Venture","1"
"officemb.ca","R2","a member is JV/composite-shaped","38969","Architect","office of mcfarlane biggar architects + designers (OMB)","14"
"officemb.ca","R2","a member is JV/composite-shaped","69272","Architect","OMB Architects","4"
"officemb.ca","R2","a member is JV/composite-shaped","77899","Architect","mcfarlane biggar architects + designers (omb)","4"
"aspectengineers.com","R3","no name carries the domain brand","65803","Competitor","Aspect Structural Engineers","10"
"aspectengineers.com","R3","no name carries the domain brand","75826","Competitor","ASPECT Structural Engineers Canada Ltd.","12"
"bchydro.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","38940","Developer","BC Hydro and Power Authority","10"
"bchydro.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","43875","Buyer","BC Hydro","11"
"concordpacific.com","S2","only some names carry the domain brand (initialism/rename shape)","54464","Developer","Concord Pacific Development Corp.","13"
"concordpacific.com","S2","only some names carry the domain brand (initialism/rename shape)","69902","GC","Centerville Construction","6"
"concordpacific.com","S2","only some names carry the domain brand (initialism/rename shape)","77719","Developer","Concord Pacific","2"
"concordpacific.com","S2","only some names carry the domain brand (initialism/rename shape)","77799","Developer","Concord Pacific — 1901 Minor Avenue, Seattle (next Seattle project post-Seattle House)","0"
"mortenson.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54940","GC","M.A. Mortenson Company","7"
"mortenson.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75610","GC","M.A. Mortenson Company (Mortenson)","2"
"mortenson.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75731","GC","Mortenson (M.A. Mortenson Company)","5"
"mortenson.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77298","GC","Mortenson Construction — Seattle","5"
"mortenson.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77512","Buyer","UW Medical Center — Montlake (UWMC)","2"
"rntarchitects.com","S2","only some names carry the domain brand (initialism/rename shape)","69136","Architect","Roesling Nakamura Terada Architects","15"
"rntarchitects.com","S2","only some names carry the domain brand (initialism/rename shape)","76821","Architect","RNT Architects","6"
"westbankcorp.com","S2","only some names carry the domain brand (initialism/rename shape)","69644","Developer","Westbank Projects Corp.","7"
"westbankcorp.com","S2","only some names carry the domain brand (initialism/rename shape)","75642","Developer","Westbank","11"
"westbankcorp.com","S2","only some names carry the domain brand (initialism/rename shape)","77313","Developer","Westbank Corp. — Seattle","3"
"grosvenor.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","208","KorClient","Grosvenor - Property Americas","10"
"grosvenor.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","53829","Developer","Grosvenor International Canada Inc.","10"
"grosvenor.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","70878","Buyer","Grosvenor Americas","0"
"calgary.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","53119","Buyer","City of Calgary","18"
"calgary.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","68785","Buyer","Calgary Sports & Entertainment Corp","2"
"calgary.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77891","Government","City of Calgary — Green Line LRT Program","0"
"calgary.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77898","GC","Bow Transit Connectors (Barnard / Flatiron / WSP / EllisDon Capital)","0"
"mapleridge.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54095","Developer","Glacier Aggregates Inc.","0"
"mapleridge.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","72158","Buyer","City of Maple Ridge","20"
"alabasterhomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","137","KorClient","Alabaster Developments Ltd.","14"
"alabasterhomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","23845","Developer","Alabaster Homes","5"
"concertproperties.com","S2","only some names carry the domain brand (initialism/rename shape)","38945","Developer","Concert Industrial Properties (Concert Income Properties)","8"
"concertproperties.com","S2","only some names carry the domain brand (initialism/rename shape)","38946","Developer","Concert Properties","11"
"yvr.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","53834","Developer","Vancouver Airport Authority","9"
"yvr.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75782","Buyer","Vancouver Airport Authority (YVR)","10"
"wa-arch.ca","S2","only some names carry the domain brand (initialism/rename shape)","54454","Architect","Wensley Architecture","11"
"wa-arch.ca","S2","only some names carry the domain brand (initialism/rename shape)","68974","Architect","WA Architects","8"
"frame.properties","S2","only some names carry the domain brand (initialism/rename shape)","41","KorClient","Frame Properties Ltd.","12"
"frame.properties","S2","only some names carry the domain brand (initialism/rename shape)","192","KorClient","OctoberNine Capital Inc.","6"
"nyase.com","R3","no name carries the domain brand","38931","Competitor","Nabih Youssef Associates","8"
"nyase.com","R3","no name carries the domain brand","77116","Competitor","Nabih Youssef Associates (NYA Engineers)","1"
"nyase.com","R3","no name carries the domain brand","77176","Competitor","Nabih Youssef & Associates (NYA)","9"
"enbridge.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","53259","Developer","Enbridge Pipelines Inc.","8"
"enbridge.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69635","Buyer","Enbridge Inc.","10"
"okibgc.ca","S2","only some names carry the domain brand (initialism/rename shape)","69401","Developer","OKIB Group of Companies","10"
"okibgc.ca","S2","only some names carry the domain brand (initialism/rename shape)","75948","Developer","OKIB Group of Companies (OKIBGC)","8"
"pci-group.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","21199","Developer","PCI Group","9"
"pci-group.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","70919","Buyer","PCI Developments Corp.","8"
"wsb-eng.com","R3","no name carries the domain brand","38935","Competitor","Weiler Smith Bowers Consulting Structural Engineers","9"
"wsb-eng.com","R3","no name carries the domain brand","71090","Competitor","WSB Consulting Engineers","7"
"wsb-eng.com","R3","no name carries the domain brand","77757","Competitor","Weiler Smith Bowers (WSB) Consulting Structural Engineers","0"
"wsb-eng.com","R3","no name carries the domain brand","77882","Competitor","Weiler Smith Bowers Structural Engineers (WSB)","1"
"iwcd.ca","S2","only some names carry the domain brand (initialism/rename shape)","52771","Developer","Island West Coast Developments Ltd.","11"
"iwcd.ca","S2","only some names carry the domain brand (initialism/rename shape)","75481","GC","IWCD (Island West Coast Developments)","6"
"oib.ca","S2","only some names carry the domain brand (initialism/rename shape)","53946","Developer","Osoyoos Indian Band","11"
"oib.ca","S2","only some names carry the domain brand (initialism/rename shape)","75619","Developer","Osoyoos Indian Band Development Corporation (OIBDC)","4"
"oib.ca","S2","only some names carry the domain brand (initialism/rename shape)","77868","Developer","Osoyoos Indian Band Development Corporation","2"
"slokkerhomes.com","S2","only some names carry the domain brand (initialism/rename shape)","68775","Developer","Slokker Homes","7"
"slokkerhomes.com","S2","only some names carry the domain brand (initialism/rename shape)","74155","Developer","Slokker Canada West","10"
"labibfunk.com","R2","a member is JV/composite-shaped","77097","Competitor","Labib Funk + Associates","9"
"labibfunk.com","R2","a member is JV/composite-shaped","77124","Competitor","Labib Funk + Associates (LFA)","8"
"nait.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","852","Developer","Northern Alberta Institute of Technology","8"
"nait.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75550","Buyer","NAIT (Northern Alberta Institute of Technology)","4"
"nait.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77433","Buyer","Northern Alberta Institute of Technology (NAIT)","4"
"rdos.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18890","Buyer","Regional District of Okanagan Similkameen","14"
"rdos.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54102","Developer","Dokie Wind Energy Inc.","2"
"sd73.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18900","Buyer","SD73 Kamloops-Thompson School District","7"
"sd73.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39073","Vendor","ABC Life Literacy Canada","5"
"sd73.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77423","Buyer","School District 73 Kamloops/Thompson","4"
"sd73.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77772","Government","Kamloops-Thompson School District No. 73 (SD73)","0"
"tkad.ca","R2","a member is JV/composite-shaped","23375","Architect","Taylor Kurtz Architecture + Design Inc.","7"
"tkad.ca","R2","a member is JV/composite-shaped","68897","Architect","TKA+D Architecture + Design Inc.","9"
"oneproperties.com","R2","a member is JV/composite-shaped","38948","Developer","ONE Properties","10"
"oneproperties.com","R2","a member is JV/composite-shaped","75699","Developer","ONE Properties (formerly WAM Development Group)","6"
"oneproperties.com","R2","a member is JV/composite-shaped","77813","Developer","ONE Properties / Revera","0"
"okib.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54101","Developer","Independent Academies Canada Inc.","4"
"okib.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69118","Buyer","Okanagan Indian Band (OKIB)","12"
"snuneymuxw.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54997","Developer","Petroglyph Development Group","7"
"snuneymuxw.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69357","Buyer","Snuneymuxw First Nation","9"
"urbanrengroup.com","R3","no name carries the domain brand","68708","Developer","Urban Renaissance Group","7"
"urbanrengroup.com","R3","no name carries the domain brand","75735","Developer","Touchstone (now operating under Urban Renaissance Group)","5"
"urbanrengroup.com","R3","no name carries the domain brand","77308","Developer","Urban Renaissance Group (Touchstone)","4"
"ckcps.com","R3","no name carries the domain brand","75193","Competitor","Cary Kopczynski and Company","6"
"ckcps.com","R3","no name carries the domain brand","77125","Competitor","Cary Kopczynski & Company (CKC)","7"
"ckcps.com","R3","no name carries the domain brand","77297","Competitor","CKC Structural Engineers","3"
"ckcps.com","R3","no name carries the domain brand","77745","Competitor","CKC (Cary Kopczynski & Company)","0"
"dbarchitect.com","R3","no name carries the domain brand","76889","Architect","David Baker Architects","9"
"dbarchitect.com","R3","no name carries the domain brand","77244","Architect","David Baker Architects (DBA)","7"
"weareperformance.ca","R3","no name carries the domain brand","164","KorClient","Performance Builders Ltd.","6"
"weareperformance.ca","R3","no name carries the domain brand","28554","GC","Performance Construction Ltd.","9"
"hopewelldevelopment.com","S2","only some names carry the domain brand (initialism/rename shape)","53692","Developer","Hopewell Development","6"
"hopewelldevelopment.com","S2","only some names carry the domain brand (initialism/rename shape)","68772","Developer","Hopewell Group of Companies","9"
"lpc.com","S2","only some names carry the domain brand (initialism/rename shape)","68694","Developer","Lincoln Property Company","9"
"lpc.com","S2","only some names carry the domain brand (initialism/rename shape)","75728","Developer","Lincoln Property Company (LPC)","6"
"rlai.com","R3","no name carries the domain brand","26","Architect","RLA Architects Inc.","8"
"rlai.com","R3","no name carries the domain brand","71101","Architect","Raymond Letkeman Architects Inc.","6"
"medicinehat.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","671","Buyer","The City of Medicine Hat","12"
"medicinehat.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","74346","Developer","City of Medicine Hat","2"
"rdn.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54015","Buyer","Regional District of Nanaimo","12"
"rdn.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54075","Developer","CanCorp Properties Ltd.","2"
"twnation.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54118","Developer","Canada Lands Company Ltd.","6"
"twnation.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54986","Developer","Takaya Developments Ltd.","2"
"twnation.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","71268","Buyer","Tsleil-Waututh Nation","6"
"twnation.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75953","Buyer","Tsleil-Waututh Nation — Economic Development","0"
"lilwatbusiness.ca","R3","no name carries the domain brand","69408","Developer","Líl̓wat Business Group","6"
"lilwatbusiness.ca","R3","no name carries the domain brand","75954","Developer","Líl̓wat Business Group (LBG)","8"
"egis-group.com","R3","no name carries the domain brand","74130","Vendor","Egis Canada","11"
"egis-group.com","R3","no name carries the domain brand","75672","Competitor","CCI Group Inc. (CCIG) — now operating as Egis Canada (formerly McIntosh Perry)","3"
"portvancouver.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75853","Developer","Vancouver Fraser Port Authority","9"
"portvancouver.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77395","Buyer","Vancouver Fraser Port Authority (Port Metro Vancouver)","5"
"lmsarch.com","R3","no name carries the domain brand","76891","Architect","Leddy Maytum Stacy Architects","6"
"lmsarch.com","R3","no name carries the domain brand","77243","Architect","Leddy Maytum Stacy Architects (LMSA)","8"
"mission.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18859","Buyer","District of Mission","5"
"mission.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54097","Developer","Pridham Development Inc.","0"
"mission.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75025","Buyer","City of Mission","8"
"bcj.com","S2","only some names carry the domain brand (initialism/rename shape)","38961","Architect","Bohlin Cywinski Jackson","5"
"bcj.com","S2","only some names carry the domain brand (initialism/rename shape)","75792","Architect","Bohlin Cywinski Jackson (BCJ)","8"
"homesbyavi.com","S2","only some names carry the domain brand (initialism/rename shape)","53351","Developer","Homes by Avi","2"
"homesbyavi.com","S2","only some names carry the domain brand (initialism/rename shape)","53610","Developer","AVI Urban","11"
"cparch.ca","R3","no name carries the domain brand","75841","Architect","Checkwitch Poiron Architects Inc.","11"
"cparch.ca","R3","no name carries the domain brand","77716","Architect","Checkwitch Poiron Architects (CPA)","2"
"cnv.org","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39026","Vendor","Neil Squire Society","1"
"cnv.org","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54007","Buyer","City of North Vancouver","11"
"troikadevelopments.com","S2","only some names carry the domain brand (initialism/rename shape)","54033","Developer","Troika Developments","10"
"troikadevelopments.com","S2","only some names carry the domain brand (initialism/rename shape)","77804","Developer","Troika Management Corp.","2"
"malahatnation.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54999","Developer","Yos Economic Development","2"
"malahatnation.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69187","Buyer","Malahat Nation","10"
"houseandhouse.com","R2","a member is JV/composite-shaped","68640","Architect","Househouse Architects Inc.","6"
"houseandhouse.com","R2","a member is JV/composite-shaped","75721","Architect","House + House Architects (House and House Architects)","6"
"cplinc.com","R3","no name carries the domain brand","68685","Competitor","Coughlin Porter Lundeen","2"
"cplinc.com","R3","no name carries the domain brand","77290","Competitor","Coughlin Porter Lundeen (CPL)","10"
"urban-arts.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69121","Architect","Urban Arts Architecture","12"
"urban-arts.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77710","Buyer","Aboriginal Land Trust (ALT) / Urban Aboriginal Peoples Council","0"
"splatsindc.com","R3","no name carries the domain brand","69402","Developer","Splatsin Development Corporation","5"
"splatsindc.com","R3","no name carries the domain brand","75949","Developer","Splatsin Development Corporation (SDC)","7"
"scwenwen.ca","R3","no name carries the domain brand","69403","Developer","Scwén̓wen Economic Development Corporation","6"
"scwenwen.ca","R3","no name carries the domain brand","75950","Developer","Scwén̓wen Economic Development Corporation (SEDC)","6"
"gilbaneco.com","R3","no name carries the domain brand","77137","GC","Gilbane Building Company","7"
"gilbaneco.com","R3","no name carries the domain brand","77228","GC","Gilbane Building Company (Sacramento)","5"
"telus.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","65","KorClient","TELUS Communications Inc. c/o Ledcor Property Investments Ltd.","11"
"telus.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77870","Buyer","TELUS / Westbank — 150 West Georgia (Sovereign AI DC)","0"
